date,state,hospitalizedCurrently,death,positiveIncrease
2020-07-04,AR,285,286,587
2020-07-04,AS,,0,0
2020-07-04,AZ,3113,1805,2695
2020-07-04,CA,7092,6313,6510
2020-07-04,CO,270,1521,267
2020-07-04,CT,95,4335,0
2020-07-04,DC,95,557,12
2020-07-04,DE,54,512,73
2020-07-04,FL,,3803,11458
2020-07-04,GA,1726,2857,2826
2020-07-04,GU,3,5,2
2020-07-04,HI,,19,29
2020-07-04,IA,134,721,612
2020-07-04,ID,75,93,401
2020-07-04,IL,1346,7224,862
2020-07-04,IN,632,2687,517
2020-07-04,KS,,277,0
2020-07-04,KY,455,585,0
2020-07-04,LA,852,3278,0
2020-07-04,MA,640,8172,210
2020-07-04,MD,410,3236,380
2020-07-04,ME,27,107,24
2020-07-04,MI,548,6218,406
2020-07-04,MN,270,1503,0
2020-07-04,MO,740,1027,385
2020-07-04,MP,,2,0
2020-07-04,MS,872,1107,1904
2020-07-04,MT,20,23,39
2020-07-04,NC,945,1395,1413
2020-07-04,ND,22,78,57
2020-07-04,NE,111,284,208
2020-07-04,NH,25,376,35
2020-07-04,NJ,983,15189,291
2020-07-04,NM,130,511,256
2020-07-04,NV,749,530,857
2020-07-04,NY,844,24896,726
2020-07-04,OH,691,2907,926
2020-07-04,OK,391,398,580
2020-07-04,OR,173,213,294
2020-07-04,PA,589,6749,634
2020-07-04,PR,100,155,104
2020-07-04,RI,61,960,27
2020-07-04,SC,1190,813,1854
2020-07-04,SD,54,97,50
2020-07-04,TN,949,637,1428
2020-07-04,TX,7890,2608,8258
2020-07-04,UT,255,181,676
2020-07-04,VA,808,1849,716
2020-07-04,VI,,6,13
2020-07-04,VT,16,56,2
2020-07-04,WA,315,1352,627
2020-07-04,WI,235,803,776
2020-07-04,WV,25,94,15
2020-07-04,WY,8,20,24
2020-07-03,AK,25,15,46
2020-07-03,AL,812,1006,1754
2020-07-03,AR,285,281,547
2020-07-03,AS,,0,0
2020-07-03,AZ,3013,1788,4433
